,Country,Happiness score,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year,Country Url,Region,Region code,Happiness status,Overall Rank,Rank per region,Capital City,Longitude,Latitude
419,Bulgaria,4.714000225,1.161459088,1.4343794580000002,0.70821768,0.289231718,0.011051531000000002,0.11317769400000001,0.996139288,2017,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,EUROPE,150.0,Amber,105.0,36.0,Sofia,23.3238,42.7105
420,Sierra Leone,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.071095176,0.293040901,2.668459892,2017,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,AFRICA,2.0,Amber,106.0,10.0,Freetown,-13.2134,8.4821
421,Cameroon,4.695000172,0.564305365,0.946018219,0.132892117,0.43038874899999996,0.051306631,0.236298457,2.333645582,2017,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,AFRICA,2.0,Amber,107.0,11.0,Yaounde,11.5174,3.8721
422,Iran,4.691999912,1.156873107,0.7115512490000001,0.639333189,0.249322608,0.048761072999999995,0.38724291299999997,1.4987349509999999,2017,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,ASIA,142.0,Amber,108.0,30.0,,,
423,Albania,4.644000053,0.996192753,0.803685248,0.7311597470000001,0.381498635,0.039864216,0.201312944,1.490441561,2017,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,EUROPE,150.0,Amber,109.0,37.0,Tirane,19.8172,41.3317
424,Bangladesh,4.607999802,0.586682975,0.7351317409999999,0.533241034,0.47835665899999996,0.123717859,0.172255352,1.978736162,2017,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,ASIA,142.0,Amber,110.0,31.0,Dhaka,90.4113,23.7055
425,Namibia,4.573999882,0.9644343259999999,1.098470807,0.33861181100000004,0.520303547,0.093146972,0.077133745,1.481890202,2017,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg,AFRICA,2.0,Amber,111.0,12.0,Windhoek,17.0931,-22.5648
426,Kenya,4.552999973,0.560479462,1.0679507259999999,0.30998835,0.452763766,0.064641319,0.444860309,1.651902199,2017,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,AFRICA,2.0,Amber,112.0,13.0,Nairobi,36.8126,-1.27975
427,Mozambique,4.5500001910000005,0.23430565,0.870701015,0.106654435,0.48079109200000003,0.179436386,0.32222810399999996,2.355650902,2017,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg,AFRICA,2.0,Amber,113.0,14.0,Maputo,32.5713,-25.9664
428,Myanmar,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.188816205,0.8380751609999999,1.115290403,2017,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,ASIA,142.0,Amber,114.0,32.0,Naypyidaw,95.9562,21.914
429,Senegal,4.534999847,0.47930902200000003,1.179691911,0.40936285299999997,0.37792226700000003,0.11546044800000001,0.183468893,1.789646149,2017,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,AFRICA,2.0,Amber,115.0,15.0,Dakar,-17.4734,14.7247
430,Zambia,4.513999939,0.636406779,1.0031872990000001,0.257835895,0.461603492,0.07821355,0.249580145,1.826705456,2017,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg,AFRICA,2.0,Amber,116.0,16.0,Lusaka,28.2937,-15.3982
431,Iraq,4.497000217,1.102710485,0.978613198,0.50118047,0.28855553300000003,0.107215755,0.19963726399999998,1.3189072609999999,2017,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,ASIA,142.0,Amber,117.0,33.0,Baghdad,44.394,33.3302
432,Gabon,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.076046787,0.043785378,1.322916269,2017,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,AFRICA,2.0,Amber,118.0,17.0,Libreville,9.45162,0.38832
433,Ethiopia,4.460000038,0.339233845,0.864669204,0.353409708,0.40884274200000004,0.165455714,0.31265074,2.015743732,2017,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,AFRICA,2.0,Amber,119.0,18.0,Addis Ababa,38.7468,9.02274
